invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S25124600093,2015-04-16,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17,Cerro Gordo,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,18.49,27.74,4,110.96,4.0,1.06
S07776200150,2012-09-17,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.35,11.02,48,528.96,48.0,12.68
S05125400091,2012-04-18,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,POINT (-92.899277 41.396961000000005),63,Marion,1081380.0,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,82627,Dekuyper Cherry Pucker,12,1000,7.35,11.02,4,44.08,4.0,1.06
S10750600084,2013-02-27,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1081317.0,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.62,11.43,48,548.64,48.0,12.68
S23245100029,2014-12-29,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,POINT (-91.528105 42.207428),52,Johnson,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.49,21.74,276,6000.24,207.0,54.68
S25801400021,2015-05-22,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.84,5.76,84,483.84,84.0,22.19
INV-03571400118,2017-03-02,4829,Central City 2,1501 Michigan Ave,Des Moines,50314.0,POINT (-93.613739 41.60572),77,POLK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,120,435.6,120.0,31.7
INV-13939800009,2018-08-20,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1901200.0,Special Order Items,978.0,W J Deutsch & Sons LTD,942395,Plantation Rum Original Dark,6,750,9.5,14.25,60,855.0,45.0,11.88
INV-27564200014,2020-05-29,2536,HY-VEE / PLEASANT HILL,4815 Maple Drive,Pleasant Hill,50317.0,POINT (-93.519187 41.598109),77,Polk,1091100.0,American Distilled Spirit Specialty,154,DUNKEL CORPORATION / Iowa Distilling,77805,Saints N Sinners Apple Pie,12,750,8.0,12.0,60,720.0,45.0,11.88
S16947500018,2014-01-21,4891,Schottsy's Liquor,109 5th ST,SIBLEY,51249,POINT (-95.759943 43.403935),72,Osceola,1081312.0,BUTTERSCOTCH SCHNAPPS,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.62,11.43,4,45.72,4.0,1.06
INV-33668700012,2021-01-21,3713,Wal-Mart 0810 / Mason City,4151  4th St SW,Mason City,50401.0,POINT (-93.261648 43.148239),17,CERRO GORD,1011600,Straight Rye Whiskies,260.0,DIAGEO AMERICAS,27025,Bulleit 95 Rye,12,750,16.5,24.75,36,891.0,27.0,7.13
INV-39186200008,2021-08-13,4311,Fareway Stores #508 / Fort Dodge,1231  1st Ave S,Fort Dodge,50501.0,POINT (-94.18154 42.50513),94,WEBSTER,1062100.0,Gold Rum,35,BACARDI USA INC,43036,Bacardi Gold,12,750,8.26,12.39,36,446.04,27.0,7.13
INV-13279300184,2018-07-17,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,Polk,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67528,Kahlua Coffee Liqueur,6,1750,24.99,37.49,4,149.96,7.0,1.85
