invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S08530900020,2012-10-24,4166,Jesup Food Center,1314  7TH ST,JESUP,50648,POINT (-92.062259 42.469327),10,Buchanan,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,4,22.48,4.0,1.06
S25982700029,2015-06-03,4472,Quick Shop Foods / Centerville,1023 SOUTH MAIN,CENTERVILLE,52544,POINT (-92.874182 40.72417500000001),4,Appanoose,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06
INV-13919300114,2018-08-20,2651,Hy-Vee / Waverly,1311 4 Street SW,Waverly,50677,POINT (-92.475403 42.712263),9,BREMER,1081100.0,Coffee Liqueurs,65.0,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,2,25.18,2.0,0.52
INV-29822900010,2020-08-28,5908,Neighborhood Tobacco Outlet / Marion,2500 7th Ave,Marion,52302.0,POINT (-91.585363 42.033257),57,LINN,1011600.0,Straight Rye Whiskies,214,GoAmericaGo Beverages LLC / WhistlePig,15181,WhistlePig 10YR Mini,4,50,71.91,107.87,4,431.48,0.2,0.05
INV-13473100134,2018-07-26,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,180,653.4,180.0,47.55
S30776500078,2016-02-17,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,Monona,1042100.0,IMPORTED DRY GINS,260.0,Diageo Americas,28867,Tanqueray Gin,12,1000,15.5,23.25,7,162.75,7.0,1.85
INV-27088300090,2020-05-07,3456,Quick Shop / Clear Lake,904 N 8th St,ClearLake,50428.0,POINT (-93.378772 43.142868),17,CERRO GORD,1062100.0,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,2,13.26,2.0,0.52
S10701400012,2013-02-20,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,POINT (-95.831721 43.186038),71,O'Brien,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,13.15,20.1,36,723.6,27.0,7.13
S09518700012,2012-12-17,4137,Fareway Stores #989 / Waukee,200 SE LAUREL ST,WAUKEE,50263,POINT (-93.86786 41.614033),25,Dallas,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,120,3255.6,90.0,23.78
S26746900005,2015-07-15,4677,Costco Wholesale #1111 / Coralville,2900 HEARTLAND DR,CORALVILLE,52241,POINT (-91.61494100000002 41.698028),52,Johnson,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.25,22.88,48,1098.24,48.0,12.68
INV-33285800003,2021-01-07,5251,Northside Liquor,1303 North Federal,Mason City,50401.0,POINT (-93.201061 43.163663),17,CERRO GORD,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86749,Ole Smoky Cherry Moonshine,6,750,12.5,18.75,18,337.5,13.5,3.56
INV-44259100001,2022-01-31,6242,Wall to Wall Wine and Spirits / West Des Moines,375 South Jordan Creek Parkway,West Des Moines,50266.0,POINT (-93.809473 41.563571),25,Dallas,1011600.0,Straight Rye Whiskies,619,Campari America,27116,Wild Turkey 101 Rye,12,750,14.0,21.0,36,756.0,27.0,7.13
S30421200063,2016-01-27,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1062100.0,JAMAICA RUM,260,Diageo Americas,42167,Myers's Rum Original Dark,12,1000,12.5,18.75,4,75.0,4.0,1.06
S28258000041,2015-10-05,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,1838,Malibu w/Dole Pineapple Juice,3,1750,16.49,24.74,30,742.2,52.5,13.87
S07896200010,2012-09-24,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,POINT (-93.613648 42.001123),85,Story,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.35,11.02,48,528.96,48.0,12.68
S09142900084,2012-11-26,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,,85,Story,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
INV-42823000006,2021-12-13,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401.0,POINT (-91.659875 41.97574),57,LINN,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold DSS,12,1000,5.0,7.5,96,720.0,96.0,25.36
S06690000010,2012-07-23,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),7,Black Hawk,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.35,11.02,48,528.96,48.0,12.68
S25055500071,2015-04-14,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
S12883400003,2013-06-17,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,48,158.88,48.0,12.68
S17131200118,2014-01-30,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,POINT (-91.528105 42.207428),52,Johnson,1081400.0,TRIPLE SEC,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.22,3.33,4,13.32,4.0,1.06
INV-03476400107,2017-02-27,3612,B and C Liquor / Maquoketa,509 E Platt,Maquoketa,52060.0,POINT (-90.659692 42.06922000000001),49,JACKSON,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,3,35.28,5.25,1.39
INV-27540600012,2020-05-28,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804.0,,82,SCOTT,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,60,436.8,60.0,15.85
INV-33716600009,2021-01-22,4753,Casey's General Store #2521 / Adair,110 S 5th St,Adair,50002.0,POINT (-93.300253 41.013948),1,ADAIR,1041300,American Sloe Gins,434.0,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,6,48.78,6.0,1.58
INV-39348700005,2021-08-19,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241.0,POINT (-91.60627100000002 41.721438),52,JOHNSON,1901200.0,Special Order Items,978,W J Deutsch & Sons LTD,942396,SOOH Plantation Rhum 3 Stars,6,750,10.5,15.75,36,567.0,27.0,7.13
INV-23534700095,2019-11-27,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,,82,SCOTT,1092100.0,Imported Distilled Spirit Specialty,421.0,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,60,436.8,60.0,15.85
INV-23562300001,2019-11-29,2238,Adventureland Inn,305 34th Ave NW,Altoona,50009.0,,77,POLK,1901200.0,Special Order Items,260,DIAGEO AMERICAS,964714,Ciroc Peach,6,1750,32.49,48.74,300,14622.0,525.0,138.69
INV-23700900059,2019-12-05,5251,Northside Liquor,1303 North Federal,Mason City,50401.0,POINT (-93.201061 43.163663),17,CERRO GORD,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67526,Kahlua Coffee,12,750,12.49,18.74,36,674.64,27.0,7.13
S30570800001,2016-02-04,4642,Liquor and Tobacco Outlet / Univ Ave,2844 UNIVERSITY AVE,WATERLOO,50701,POINT (-92.382928 42.498321),7,Black Hawk,1031100.0,100 PROOF VODKA,297,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54
INV-18209700089,2019-03-19,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,240,1800.0,240.0,63.4
S19743500036,2014-06-25,3876,Affiliated Foods Of Manson,1101 MAIN ST PO BOX 535,MANSON,50563,POINT (-94.534319 42.530636),13,Calhoun,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,3,33.63,5.25,1.39
S10243100050,2013-01-24,3814,Costco Wholesale #788,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,POINT (-93.806489 41.561342),25,Dallas,1042100.0,IMPORTED DRY GINS,370,Pernod Ricard USA/Austin Nichols,28088,Beefeater Gin,6,1750,22.04,33.07,30,992.1,52.5,13.87
S03603900087,2012-01-17,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,POINT (-90.705328 42.491862),31,Dubuque,1081700.0,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,76227,Montezuma Blue,12,1000,4.16,6.24,48,299.52,48.0,12.68
S11085400127,2013-03-13,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,POINT (-92.438463 41.01558),90,Wapello,1081365.0,TROPICAL FRUIT SCHNAPPS,421,"Sazerac Co., Inc.",83907,Maui Blue Hawaiian Schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06
INV-07138900001,2017-09-11,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1012300.0,Single Malt Scotch,240,William Grant & Sons Inc,5004,Glenfiddich 12YR Single Malt Scotch,24,375,11.5,17.25,18,310.5,6.75,1.78
INV-03808800124,2017-03-15,2621,Hy-Vee Food Store #3 / Sioux City,3301 Gordon Dr,Sioux City,51105.0,POINT (-96.364108 42.487752),97,WOODBURY,1062300.0,Aged Dark Rum,260,DIAGEO AMERICAS,42167,Myers's Rum Original Dark,12,1000,13.0,19.5,5,93.75,5.0,1.32
INV-13912200003,2018-08-17,3698,Ingersoll Wine Merchants,1300  50th St,West Des Moines,50266,POINT (-93.771159 41.590871),77,POLK,1901200.0,Special Order Items,293.0,JINRO AMERICA INC,965266,Jinro Chamisul Classic Soju,24,375,3.63,5.45,72,392.4,27.0,7.13
INV-29845300001,2020-08-30,9041,S&B Farms Distillery,212 E Ramsey St.,Bancroft,50517.0,POINT (-94.215446 43.292947),55,KOSSUTH,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,13.01,19.52,30,585.6,22.5,5.94
INV-27632200109,2020-06-01,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001.0,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1062300.0,Aged Dark Rum,65,Jim Beam Brands,44487,Cruzan Dark,12,1000,8.4,12.6,2,25.2,2.0,0.52
INV-25798000066,2020-03-11,3704,Celtics Beverage Company,1122 Broadway,Emmetsburg,50536.0,POINT (-94.678807 43.10937),74,PALO ALTO,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold DSS,12,1000,5.0,7.5,2,15.0,2.0,0.52
INV-34234600002,2021-02-11,9041,S&B Farms Distillery,212 E Ramsey St.,Bancroft,50517.0,POINT (-94.215446 43.292947),55,KOSSUTH,1091100,American Distilled Spirit Specialty,578.0,S&B Farms Distillery,77049,Sir Winston Apple,6,750,13.01,19.52,18,351.36,13.5,3.56
S25365600040,2015-04-29,3973,Mmdg Spirits / Ames,126A WELCH AVE,AMES,50014,POINT (-93.650131 42.021789),85,Story,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,18.49,27.74,4,110.96,4.0,1.06
INV-23303300054,2019-11-18,3417,Big G Food Store,Po Box 261  310 W Dillon,Marengo,52301,,48,IOWA,1081500.0,Triple Sec,55.0,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,4,12.8,4.0,1.05
INV-23276600011,2019-11-16,5237,World Liquor & Tobacco + Vape,"606, N 15th St",Fort Dodge,50501,POINT (-94.17795 42.512182),48,Iowa,,,55.0,SAZERAC NORTH AMERICA,84197,99 Pineapple Mini,10,600,6.0,9.0,10,90.0,6.0,1.58
INV-12853900015,2018-06-25,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1092100.0,Imported Distilled Spirit Specialty,434.0,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,84,651.84,84.0,22.19
S07328600074,2012-08-27,2553,Hy-Vee Food Store / Creston,600 SHELDON,CRESTON,50801,POINT (-94.372552 41.051462),88,Union,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,4,22.48,4.0,1.06
S31773300011,2016-04-13,5199,Super Mart / Oelwein,"701, S  FREDERICK  AVE",OELWEIN,50662,POINT (-91.913481 42.669128),33,Fayette,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84171,99 Bananas,48,100,0.89,1.34,48,64.32,4.8,1.27
INV-14694400067,2018-09-27,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807,POINT (-90.527081 41.559731),82,SCOTT,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,72,252.0,72.0,19.02
S08419600002,2012-10-17,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,,77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
INV-42738800003,2021-12-09,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.352359 42.456358),7,BLACK HAWK,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.99,23.99,180,4318.2,180.0,47.55
S26253800182,2015-06-17,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,,85,Story,1081380.0,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,82627,Dekuyper Cherry Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
S08924200121,2012-11-13,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1081305.0,APPLE SCHNAPPS,65,Jim Beam Brands,82600,Dekuyper Sour Apple Pucker Pet,6,1750,11.02,16.53,3,49.59,5.25,1.39
S24426800091,2015-03-09,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,60,685.8,60.0,15.85
S13201500011,2013-07-10,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,POINT (-93.613648 42.001123),85,Story,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,48,548.64,48.0,12.68
INV-33868700106,2021-01-28,2621,Hy-Vee Food Store #3 / Sioux City,3301 Gordon Dr,Sioux City,51105.0,POINT (-96.364108 42.487752),97,WOODBURY,1062100,Gold Rum,35.0,BACARDI USA INC,43038,Bacardi Gold,6,1750,15.0,22.5,3,67.5,5.25,1.38
S30552400018,2016-02-03,2113,Jamboree Foods,1119 MARKET ST. BOX 71,GOWRIE,50543,POINT (-94.289457 42.28057),94,Webster,1081030.0,COFFEE LIQUEURS,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,4,50.36,4.0,1.06
S30571700009,2016-02-04,5174,Jim's Food   /  Sullivan Ave,"437, SULLIVAN AVE",WATERLOO,50701,POINT (-92.355915 42.487326),7,Black Hawk,1051140.0,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,6,17.64,1.2,0.32
S31949400013,2016-04-25,3679,FRANKLIN STREET FLORAL & GIFT,103 FRANKLIN ST,MONONA,52159,POINT (-91.390767 43.055133),22,Clayton,1081312.0,BUTTERSCOTCH SCHNAPPS,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.87,11.81,4,47.24,4.0,1.06
S11258100003,2013-03-26,3354,Sam's Club 8238 / Davenport,3845 ELMORE AVE.,DAVENPORT,52807,POINT (-90.527081 41.559731),82,Scott,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,264,3017.52,264.0,69.74
S09220300039,2012-11-29,3814,Costco Wholesale #788,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,POINT (-93.806489 41.561342),25,Dallas,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,60,198.6,60.0,15.85
S26237900156,2015-06-16,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,3,26.73,1.8,0.48
S07421200001,2012-10-24,3789,Wal-Mart 1393 / Oskaloosa,2203 A AVENUE WEST,OSKALOOSA,52577,POINT (-92.669924 41.298516),62,Mahaska,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1400,Crown Royal w/2 Glasses,6,750,14.5,21.75,36,783.0,27.0,7.13
INV-42993500015,2021-12-17,4623,Casey's General Store #1493 / Van Meter,700 Debra Dr,Van Meter,50261.0,POINT (-93.951253 41.533177),25,DALLAS,1091200,Neutral Grain Spirits,346,OLE SMOKY DISTILLERY LLC,86771,Ole Smoky White Lightnin,6,750,12.5,18.75,18,337.5,13.5,3.56
INV-43067400001,2021-12-20,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010.0,POINT (-93.618289 42.022865),85,STORY,1082100,Imported Cordials & Liqueur,619,Campari America,904844,SOOH Cynar 33prf,12,1000,14.5,21.75,6,130.5,6.0,1.58
INV-43043300010,2021-12-20,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596756 41.553941),77,POLK,1011600,Straight Rye Whiskies,214,GoAmericaGo Beverages LLC / WhistlePig,15187,WhistlePig 6YR PiggyBack,6,750,25.0,37.5,18,675.0,13.5,3.56
S06143800089,2012-06-19,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,4,13.24,4.0,1.06
S18021500025,2014-03-27,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15621,Jameson Mini,10,600,11.88,17.82,2,35.64,1.2,0.32
INV-03896800009,2017-03-21,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402.0,POINT (-91.668909 42.034799),57,LINN,1091300.0,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76040,Midnight Moon Strawberry,6,750,11.5,17.25,18,310.5,13.5,3.57
INV-34221500049,2021-02-11,5142,Smokin' Joe's #13 Tobacco and Liquor Outlet,2315 Mt Vernon Rd SE,Cedar Rapids,52303.0,,57,Linn,1081100,Coffee Liqueurs,370.0,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.99,23.99,2,47.98,2.0,0.52
S15486200057,2013-11-05,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.76,7.14,108,771.12,108.0,28.53
S05451400065,2012-05-09,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400.0,TRIPLE SEC,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.21,3.32,60,199.2,60.0,15.85
S19101500002,2014-05-23,3899,Wal-Mart 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,POINT (-93.795512 41.558107),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,4127,Captain Morgan Original Spiced 1.75L w/CM White 200ml,6,1950,17.75,26.63,78,2077.14,152.1,40.18
INV-28652400003,2020-07-13,2671,Hy-Vee  /  Jefferson,"106, W Washington St",Jefferson,50129.0,POINT (-94.375508 42.017267),37,GREENE,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,13.01,19.52,30,585.6,22.5,5.94
S11436200112,2013-04-03,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,POINT (-95.202405 42.647492),11,Buena Vista,1042100.0,IMPORTED DRY GINS,370,Pernod Ricard USA/Austin Nichols,28088,Beefeater Gin,6,1750,21.99,32.99,3,98.97,5.25,1.39
S07736100057,2012-09-13,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.4,26.1,48,1252.8,48.0,12.68
INV-33251100025,2021-01-06,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68
INV-33567600001,2021-01-19,5251,Northside Liquor,1303 North Federal,Mason City,50401.0,POINT (-93.201061 43.163663),17,CERRO GORD,1011300,Single Barrel Bourbon Whiskies,184.0,FOUR ROSES DISTILLERY,18350,Four Roses Single Barrel,6,750,21.17,31.76,60,1905.6,45.0,11.88
INV-44230400027,2022-01-28,4183,Fareway Stores #589 / Decorah,103 E Main,Decorah,52101.0,POINT (-91.785286 43.303291),96,WINNESHIEK,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.05
INV-38945300082,2021-08-04,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240.0,POINT (-91.53046300000001 41.642764),52,JOHNSON,1041200.0,Flavored Gin,110,3 BADGE CORPORATION,932650,SOOH Uncle Vals Botanical Gin,6,750,19.25,28.88,60,1732.8,45.0,11.88
INV-38975700102,2021-08-05,3456,Quick Shop / Clear Lake,904 N 8th St,ClearLake,50428.0,POINT (-93.378772 43.142868),17,CERRO GORD,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,4,14.0,4.0,1.05
S24032900062,2015-02-16,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400.0,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.2,168,537.6,168.0,44.38
INV-09654100001,2018-01-08,4829,Central City 2,1501 Michigan Ave,Des Moines,50314.0,POINT (-93.613739 41.60572),77,POLK,1901200.0,Special Order Items,421,SAZERAC COMPANY  INC,918010,Buffalo Trace Bourbon buy the Barrel,12,750,13.0,19.5,120,2340.0,90.0,23.78
S22742300001,2014-12-04,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,POINT (-90.525525 41.580212),82,Scott,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.24,19.86,66,1310.76,49.5,13.08
S12481200074,2013-05-29,2650,Hy-Vee Wine and Spirits / Harlan,1808 23RD ST,HARLAN,51537,POINT (-95.339881 41.650658),83,Shelby,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55084,Paramount Blackberry Brandy,24,375,3.54,5.31,5,26.55,1.88,0.5
INV-18422000022,2019-03-28,5425,Spirits Liquor,109 E 1st St. # B,Grimes,50111,POINT (-93.793812 41.68840000000001),77,POLK,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,3,35.28,5.25,1.38
S31669300009,2016-04-07,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,30,814.2,22.5,5.94
INV-14746000011,2018-10-01,4166,Jesup Food Center,1314  7th St,Jesup,50648,POINT (-92.062259 42.469327),10,BUCHANAN,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee Liqueur,12,1000,14.99,22.49,2,44.98,2.0,0.52
S21072600012,2014-09-08,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,Johnson,1081400.0,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.2,48,153.6,48.0,12.68
S11164300170,2013-03-19,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15628,Jameson,6,1750,24.99,37.49,3,112.47,5.25,1.39
S17867300113,2014-03-12,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story,1012300.0,IRISH WHISKIES,65,Jim Beam Brands,15737,2 Gingers Mini,1,4800,45.12,67.68,1,67.68,4.8,1.27
S06923200060,2012-08-02,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.4,26.1,60,1566.0,60.0,15.85
INV-25633400023,2020-03-04,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503.0,POINT (-95.825137 41.242732),78,POTTAWATTA,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
